score_threshold,patient_count,tp,fp,tn,fn,precision,recall,specificity,f1,balanced_accuracy,youden_j
0.006100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.006200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.006300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.006400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.006500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.006600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.006700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.006800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.006900,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.007000,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.007100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.007200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.007300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.007400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.007500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.007600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.007700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.007800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.007900,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.008000,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.008100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.008200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.008300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.008400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.008500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.008600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.008700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.008800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.008900,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.009000,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.009100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.009200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.009300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.009400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.009500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.009600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.009700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.009800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.009900,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.010000,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.010100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.010200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.010300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.010400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.010500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.010600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.010700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.010800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.010900,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.011000,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.011100,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.011200,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.011300,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.011400,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.011500,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.011600,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.011700,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
0.011800,605,377,224,3,1,0.627288,0.997354,0.013216,0.770174,0.505285,0.010570
