tail_rank,role_scope,role_scope_description,aggregation,feature_type,feature_name,candidate_grade,combined_direction,old_direction,new_direction,direction_consistent,old_directional_auc,new_directional_auc,combined_directional_auc,combined_patient_n,combined_patient_n_with_feature,combined_positive_n,combined_negative_n,old_negative_n,new_negative_n,nonpatient_P99,nonpatient_P995,nonpatient_P999,nonpatient_max,old_nonpatient_P99,new_nonpatient_P99,old_patient_above_old_P99_rate,new_patient_above_new_P99_rate,cross_data_p99_relative_diff,cross_data_tail_consistent,patient_P90,patient_P99,patient_above_P99_rate,patient_above_P995_rate,patient_above_P999_rate,tail_separation_ratio,combined_fp_at_P99,combined_fp_at_P995,combined_fp_at_P999,combined_fp_rate_at_P99,combined_fp_rate_at_P995,combined_fp_rate_at_P999,strict_filter_pass,filter_failure_reasons
11,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,asymmetry,raw_brow_outer_height_asym,candidate,patient_higher,patient_higher,patient_higher,true,0.556087,0.547215,0.580799,605,605,378,227,168,59,0.155865,0.179135,0.198273,0.202860,0.152188,0.154943,0.071429,0.000000,0.017782,true,0.139183,0.202998,0.060847,0.023810,0.015873,0.892972,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.060847 < 0.150000; tail_separation_ratio 0.892972 < 1.500000
12,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,max,expression_blendshape,bs_browInnerUp,,patient_higher,patient_higher,nonpatient_higher,false,0.516670,0.620690,0.522428,604,604,378,226,168,58,0.940957,0.967903,0.979916,0.982301,0.951335,0.755872,0.023810,0.023810,0.205462,true,0.833947,0.972003,0.026455,0.015873,0.005291,0.886275,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.026455 < 0.150000; tail_separation_ratio 0.886275 < 1.500000
13,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,expression_blendshape,bs_eyeSquintRight,,patient_higher,nonpatient_higher,patient_higher,false,0.531569,0.546005,0.530068,605,605,378,227,168,59,0.784706,0.789096,0.799703,0.802671,0.787262,0.711375,0.029762,0.071429,0.096394,true,0.693773,0.814097,0.026455,0.023810,0.015873,0.884118,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.026455 < 0.150000; tail_separation_ratio 0.884118 < 1.500000
14,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,mean,asymmetry,raw_iris_region_centroid_y_asym,,patient_higher,patient_higher,patient_higher,true,0.535192,0.543924,0.548924,604,604,378,226,168,58,0.074778,0.084948,0.095842,0.098585,0.078649,0.074397,0.053571,0.047619,0.054061,true,0.065915,0.102985,0.071429,0.037037,0.015873,0.881479,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.071429 < 0.150000; tail_separation_ratio 0.881479 < 1.500000
15,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,median,asymmetry,raw_iris_region_centroid_y_asym,,patient_higher,patient_higher,patient_higher,true,0.533881,0.544745,0.547777,604,604,378,226,168,58,0.074778,0.084948,0.095842,0.098585,0.078649,0.074397,0.053571,0.047619,0.054061,true,0.065915,0.102985,0.071429,0.037037,0.015873,0.881479,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.071429 < 0.150000; tail_separation_ratio 0.881479 < 1.500000
16,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,expression_blendshape,bs_mouthUpperUpRight,,patient_higher,patient_higher,nonpatient_higher,false,0.506626,0.541162,0.524567,605,605,378,227,168,59,0.743752,0.790564,0.805846,0.808327,0.717569,0.745141,0.068452,0.023810,0.037003,true,0.651261,0.865181,0.052910,0.029101,0.026455,0.875642,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.052910 < 0.150000; tail_separation_ratio 0.875642 < 1.500000
17,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,max,asymmetry,raw_face_oval_region_centroid_y_asym,,patient_higher,patient_higher,patient_higher,true,0.541179,0.529146,0.565066,604,604,378,226,168,58,0.138032,0.145656,0.163126,0.167940,0.141787,0.111669,0.044643,0.023810,0.212415,true,0.119754,0.164647,0.044974,0.029101,0.013228,0.867583,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.044974 < 0.150000; tail_separation_ratio 0.867583 < 1.500000
18,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,max,asymmetry,bsdiff_mouthUpperUp_abs,,patient_higher,patient_higher,nonpatient_higher,false,0.503393,0.524631,0.519894,604,604,378,226,168,58,0.186391,0.192278,0.226380,0.236212,0.191238,0.152760,0.062500,0.023810,0.201206,true,0.160815,0.307832,0.066138,0.058201,0.042328,0.862779,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.066138 < 0.150000; tail_separation_ratio 0.862779 < 1.500000
19,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,mean,asymmetry,raw_eye_region_centroid_y_asym,,patient_higher,patient_higher,patient_higher,true,0.534882,0.537356,0.548064,604,604,378,226,168,58,0.076385,0.083821,0.097233,0.100826,0.078317,0.075781,0.056548,0.047619,0.032379,true,0.065808,0.101856,0.068783,0.042328,0.015873,0.861536,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.068783 < 0.150000; tail_separation_ratio 0.861536 < 1.500000
20,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,median,asymmetry,raw_eye_region_centroid_y_asym,,patient_higher,patient_higher,patient_higher,true,0.533323,0.535304,0.546495,604,604,378,226,168,58,0.076385,0.083821,0.097233,0.100826,0.078317,0.075781,0.056548,0.047619,0.032379,true,0.065808,0.101856,0.068783,0.042328,0.015873,0.861536,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.068783 < 0.150000; tail_separation_ratio 0.861536 < 1.500000
