tail_rank,role_scope,role_scope_description,aggregation,feature_type,feature_name,candidate_grade,combined_direction,old_direction,new_direction,direction_consistent,old_directional_auc,new_directional_auc,combined_directional_auc,combined_patient_n,combined_patient_n_with_feature,combined_positive_n,combined_negative_n,old_negative_n,new_negative_n,nonpatient_P99,nonpatient_P995,nonpatient_P999,nonpatient_max,old_nonpatient_P99,new_nonpatient_P99,old_patient_above_old_P99_rate,new_patient_above_new_P99_rate,cross_data_p99_relative_diff,cross_data_tail_consistent,patient_P90,patient_P99,patient_above_P99_rate,patient_above_P995_rate,patient_above_P999_rate,tail_separation_ratio,combined_fp_at_P99,combined_fp_at_P995,combined_fp_at_P999,combined_fp_rate_at_P99,combined_fp_rate_at_P995,combined_fp_rate_at_P999,strict_filter_pass,filter_failure_reasons
134,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,mean,asymmetry,raw_face_oval_region_centroid_y_asym,recommended,patient_higher,patient_higher,patient_higher,true,0.565334,0.564165,0.579318,605,605,378,227,168,59,0.120507,0.138249,0.141177,0.141396,0.115506,0.104126,0.050595,0.000000,0.098519,true,0.091735,0.136343,0.037037,0.007937,0.007937,0.761236,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.037037 < 0.150000; tail_separation_ratio 0.761236 < 1.500000
135,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,asymmetry,bsdiff_mouth_mean_abs,,patient_higher,patient_higher,nonpatient_higher,false,0.557974,0.512107,0.582518,605,605,378,227,168,59,0.087912,0.101409,0.120845,0.125953,0.093340,0.065492,0.038690,0.023810,0.298349,true,0.066896,0.138603,0.039683,0.029101,0.015873,0.760944,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.039683 < 0.150000; tail_separation_ratio 0.760944 < 1.500000
136,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,median,expression_blendshape,bs_eyeBlinkRight,,patient_higher,patient_higher,patient_higher,true,0.528947,0.698144,0.554658,605,605,378,227,168,59,0.509498,0.600284,0.671676,0.688684,0.545684,0.482903,0.014881,0.119048,0.115050,true,0.387365,0.570330,0.023810,0.005291,0.002646,0.760288,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.023810 < 0.150000; tail_separation_ratio 0.760288 < 1.500000
137,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,mean,asymmetry,raw_brow_inner_height_asym,,patient_higher,patient_higher,patient_higher,true,0.535989,0.543514,0.549252,604,604,378,226,168,58,0.044469,0.045113,0.047648,0.048381,0.045076,0.039167,0.044643,0.047619,0.131085,true,0.033807,0.055140,0.039683,0.039683,0.034392,0.760253,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.039683 < 0.150000; tail_separation_ratio 0.760253 < 1.500000
138,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,median,asymmetry,raw_brow_inner_height_asym,,patient_higher,patient_higher,patient_higher,true,0.534093,0.541872,0.547473,604,604,378,226,168,58,0.044469,0.045113,0.047648,0.048381,0.045076,0.039167,0.044643,0.047619,0.131085,true,0.033807,0.055140,0.039683,0.039683,0.034392,0.760253,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.039683 < 0.150000; tail_separation_ratio 0.760253 < 1.500000
139,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,median,asymmetry,raw_eye_region_centroid_y_asym,recommended,patient_higher,patient_higher,patient_higher,true,0.560658,0.555287,0.571638,605,605,378,227,168,59,0.084192,0.088361,0.101590,0.105298,0.083231,0.068069,0.050595,0.000000,0.182166,true,0.063971,0.099780,0.044974,0.039683,0.007937,0.759825,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.044974 < 0.150000; tail_separation_ratio 0.759825 < 1.500000
140,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,asymmetry,raw_lip_region_area_asym,,patient_higher,nonpatient_higher,patient_higher,false,0.540418,0.541162,0.519818,605,605,378,227,168,59,0.344264,0.356028,0.401263,0.413963,0.344069,0.314611,0.017857,0.000000,0.085616,true,0.261277,0.355636,0.015873,0.010582,0.002646,0.758946,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.015873 < 0.150000; tail_separation_ratio 0.758946 < 1.500000
141,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,median,asymmetry,raw_iris_region_centroid_y_asym,recommended,patient_higher,patient_higher,patient_higher,true,0.561003,0.557304,0.571539,605,605,378,227,168,59,0.085050,0.086922,0.100458,0.104371,0.083535,0.068434,0.047619,0.000000,0.180775,true,0.064535,0.099089,0.042328,0.037037,0.005291,0.758792,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.042328 < 0.150000; tail_separation_ratio 0.758792 < 1.500000
142,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,median,asymmetry,raw_eyebrow_region_centroid_y_asym,candidate,patient_higher,patient_higher,patient_higher,true,0.554227,0.543987,0.563748,605,605,378,227,168,59,0.103953,0.105978,0.115824,0.118644,0.102748,0.077814,0.050595,0.023810,0.242670,true,0.078809,0.121532,0.039683,0.037037,0.023810,0.758122,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.039683 < 0.150000; tail_separation_ratio 0.758122 < 1.500000
143,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,mean,expression_blendshape,bs_eyeLookDownLeft,reference_only,patient_higher,patient_higher,patient_higher,true,0.531711,0.651735,0.561942,605,605,378,227,168,59,0.635668,0.647839,0.674856,0.682737,0.616749,0.529326,0.005952,0.119048,0.141749,true,0.481667,0.612160,0.005291,0.002646,0.002646,0.757733,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.005291 < 0.150000; tail_separation_ratio 0.757733 < 1.500000
144,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,mean,asymmetry,raw_mouth_corner_vertical_asym,recommended,patient_higher,patient_higher,patient_higher,true,0.572722,0.554883,0.585903,605,605,378,227,168,59,0.070143,0.073091,0.082637,0.085343,0.067159,0.067104,0.047619,0.023810,0.000818,true,0.053121,0.089545,0.039683,0.031746,0.015873,0.757331,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.039683 < 0.150000; tail_separation_ratio 0.757331 < 1.500000
145,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,max,asymmetry,raw_all_mesh_region_height_asym,candidate,patient_higher,patient_higher,patient_higher,true,0.533314,0.559934,0.560929,604,604,378,226,168,58,0.027106,0.028188,0.035428,0.037487,0.027541,0.015443,0.044643,0.047619,0.439280,false,0.020521,0.038293,0.044974,0.042328,0.015873,0.757062,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.044974 < 0.150000; tail_separation_ratio 0.757062 < 1.500000; cross_data_tail_consistent is false
146,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,max,asymmetry,raw_face_oval_region_height_asym,candidate,patient_higher,patient_higher,patient_higher,true,0.532729,0.559934,0.560484,604,604,378,226,168,58,0.027106,0.028188,0.035428,0.037487,0.027541,0.015443,0.044643,0.047619,0.439280,false,0.020521,0.038293,0.044974,0.042328,0.015873,0.757062,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.044974 < 0.150000; tail_separation_ratio 0.757062 < 1.500000; cross_data_tail_consistent is false
147,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,asymmetry,raw_eyebrow_region_height_asym,recommended,patient_higher,patient_higher,patient_higher,true,0.599950,0.550847,0.619689,605,605,378,227,168,59,0.250993,0.258557,0.270751,0.274095,0.246909,0.235899,0.020833,0.023810,0.044593,true,0.190009,0.276612,0.018519,0.015873,0.013228,0.757029,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.018519 < 0.150000; tail_separation_ratio 0.757029 < 1.500000
148,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,median,asymmetry,raw_eyebrow_region_point_spread_asym,recommended,patient_higher,patient_higher,patient_higher,true,0.564475,0.626437,0.593552,604,604,378,226,168,58,0.050247,0.052281,0.056605,0.057783,0.051118,0.029026,0.032738,0.095238,0.432181,false,0.038027,0.060460,0.037037,0.026455,0.018519,0.756804,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.037037 < 0.150000; tail_separation_ratio 0.756804 < 1.500000; cross_data_tail_consistent is false
149,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,mean,asymmetry,raw_eyebrow_region_point_spread_asym,recommended,patient_higher,patient_higher,patient_higher,true,0.562403,0.631363,0.592499,604,604,378,226,168,58,0.050247,0.052281,0.056605,0.057783,0.051118,0.029026,0.032738,0.095238,0.432181,false,0.038027,0.060460,0.037037,0.023810,0.015873,0.756804,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.037037 < 0.150000; tail_separation_ratio 0.756804 < 1.500000; cross_data_tail_consistent is false
150,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,mean,asymmetry,raw_mouth_corner_vertical_asym,,patient_higher,patient_higher,patient_higher,true,0.546494,0.517241,0.553349,604,604,378,226,168,58,0.076161,0.077081,0.079328,0.079949,0.072350,0.076340,0.056548,0.023810,0.052267,true,0.057601,0.102101,0.037037,0.034392,0.031746,0.756301,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.037037 < 0.150000; tail_separation_ratio 0.756301 < 1.500000
151,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,median,asymmetry,raw_mouth_corner_vertical_asym,,patient_higher,patient_higher,patient_higher,true,0.544297,0.519704,0.551441,604,604,378,226,168,58,0.076161,0.077081,0.079328,0.079949,0.072350,0.076340,0.056548,0.023810,0.052267,true,0.057601,0.102101,0.037037,0.034392,0.031746,0.756301,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.037037 < 0.150000; tail_separation_ratio 0.756301 < 1.500000
152,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,mean,expression_blendshape,bs_eyeLookDownRight,reference_only,patient_higher,patient_higher,patient_higher,true,0.540976,0.652542,0.569937,605,605,378,227,168,59,0.626145,0.640854,0.669079,0.676922,0.617363,0.494129,0.005952,0.166667,0.199612,true,0.473177,0.607417,0.002646,0.002646,0.002646,0.755699,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.002646 < 0.150000; tail_separation_ratio 0.755699 < 1.500000
153,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,mean,asymmetry,raw_lip_region_centroid_y_asym,,patient_higher,patient_higher,nonpatient_higher,false,0.547805,0.554598,0.539361,604,604,378,226,168,58,0.046415,0.050865,0.052307,0.052550,0.044358,0.046630,0.050595,0.023810,0.048717,true,0.034996,0.054307,0.042328,0.021164,0.013228,0.753980,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.042328 < 0.150000; tail_separation_ratio 0.753980 < 1.500000
154,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,median,asymmetry,raw_lip_region_centroid_y_asym,,patient_higher,patient_higher,nonpatient_higher,false,0.546158,0.554598,0.537769,604,604,378,226,168,58,0.046415,0.050865,0.052307,0.052550,0.044358,0.046630,0.050595,0.023810,0.048717,true,0.034996,0.054307,0.042328,0.021164,0.013228,0.753980,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.042328 < 0.150000; tail_separation_ratio 0.753980 < 1.500000
155,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,median,expression_blendshape,bs_eyeLookDownLeft,reference_only,patient_higher,patient_higher,patient_higher,true,0.549337,0.654964,0.558900,605,605,378,227,168,59,0.661723,0.711172,0.774735,0.791935,0.644703,0.557217,0.011905,0.095238,0.135700,true,0.498736,0.666335,0.013228,0.002646,0.002646,0.753693,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.013228 < 0.150000; tail_separation_ratio 0.753693 < 1.500000
156,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,expression_blendshape,bs_mouthUpperUpLeft,,patient_higher,patient_higher,nonpatient_higher,false,0.501683,0.535916,0.519474,605,605,378,227,168,59,0.785887,0.813570,0.823751,0.825533,0.795592,0.634110,0.011905,0.047619,0.202970,true,0.591476,0.803452,0.013228,0.007937,0.007937,0.752622,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.013228 < 0.150000; tail_separation_ratio 0.752622 < 1.500000
157,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,max,asymmetry,bsdiff_eyeSquint_abs,candidate,patient_higher,patient_higher,patient_higher,true,0.551528,0.531275,0.550400,603,603,378,225,166,59,0.275555,0.318636,0.395838,0.416488,0.272924,0.257811,0.035714,0.023810,0.055374,true,0.207089,0.300650,0.023810,0.002646,0.002646,0.751536,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.023810 < 0.150000; tail_separation_ratio 0.751536 < 1.500000
158,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,mean,expression_blendshape,bs_eyeLookOutLeft,,patient_higher,patient_higher,patient_higher,true,0.510098,0.534705,0.548563,605,605,378,227,168,59,0.398382,0.450140,0.481935,0.489195,0.421346,0.361703,0.020833,0.023810,0.141554,true,0.299111,0.484724,0.021164,0.013228,0.013228,0.750813,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.021164 < 0.150000; tail_separation_ratio 0.750813 < 1.500000
159,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,mean,asymmetry,raw_eye_region_point_spread_asym,recommended,patient_higher,patient_higher,patient_higher,true,0.557185,0.568604,0.591322,605,605,378,227,168,59,0.038381,0.041308,0.043230,0.043686,0.039813,0.025136,0.029762,0.023810,0.368655,false,0.028816,0.043574,0.031746,0.021164,0.015873,0.750792,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.031746 < 0.150000; tail_separation_ratio 0.750792 < 1.500000; cross_data_tail_consistent is false
160,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,mean,asymmetry,bsdiff_eyeSquint_abs,,patient_higher,patient_higher,patient_higher,true,0.549448,0.530468,0.548613,603,603,378,225,166,59,0.275555,0.318636,0.395838,0.416488,0.272924,0.257811,0.032738,0.023810,0.055374,true,0.206613,0.300650,0.023810,0.002646,0.002646,0.749806,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.023810 < 0.150000; tail_separation_ratio 0.749806 < 1.500000
161,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,median,asymmetry,bsdiff_eyeSquint_abs,,patient_higher,patient_higher,patient_higher,false,0.549448,0.524415,0.547931,603,603,378,225,166,59,0.275555,0.318636,0.395838,0.416488,0.272924,0.257811,0.032738,0.023810,0.055374,true,0.206613,0.300650,0.023810,0.002646,0.002646,0.749806,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.023810 < 0.150000; tail_separation_ratio 0.749806 < 1.500000
162,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,max,asymmetry,raw_eyebrow_region_area_asym,candidate,patient_higher,patient_higher,patient_higher,true,0.542115,0.612187,0.566126,603,603,378,225,166,59,0.308163,0.314100,0.404172,0.430011,0.305032,0.281349,0.026786,0.000000,0.077642,true,0.231039,0.350997,0.023810,0.023810,0.002646,0.749731,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.023810 < 0.150000; tail_separation_ratio 0.749731 < 1.500000
163,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,mean,asymmetry,raw_eyebrow_region_area_asym,candidate,patient_higher,patient_higher,patient_higher,true,0.539659,0.606941,0.563704,603,603,378,225,166,59,0.308163,0.314100,0.404172,0.430011,0.305032,0.281349,0.026786,0.000000,0.077642,true,0.231039,0.350997,0.023810,0.023810,0.002646,0.749731,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.023810 < 0.150000; tail_separation_ratio 0.749731 < 1.500000
164,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,median,asymmetry,raw_eyebrow_region_area_asym,candidate,patient_higher,patient_higher,patient_higher,true,0.539659,0.605730,0.563692,603,603,378,225,166,59,0.308163,0.314100,0.404172,0.430011,0.305032,0.281349,0.026786,0.000000,0.077642,true,0.231039,0.350997,0.023810,0.023810,0.002646,0.749731,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.023810 < 0.150000; tail_separation_ratio 0.749731 < 1.500000
165,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,max,asymmetry,raw_eyebrow_region_height_asym,recommended,patient_higher,patient_higher,patient_higher,true,0.567673,0.588259,0.589900,604,604,378,226,168,58,0.243391,0.249022,0.257161,0.259300,0.243000,0.235899,0.023810,0.023810,0.029222,true,0.182455,0.266978,0.023810,0.018519,0.015873,0.749638,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.023810 < 0.150000; tail_separation_ratio 0.749638 < 1.500000
166,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,expression_blendshape,bs_mouthLowerDownRight,,patient_higher,nonpatient_higher,patient_higher,false,0.502303,0.500000,0.551453,605,605,378,227,168,59,0.738099,0.782200,0.843916,0.860186,0.757297,0.590678,0.000000,0.095238,0.220018,true,0.552195,0.689752,0.002646,0.002646,0.000000,0.748131,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.002646 < 0.150000; tail_separation_ratio 0.748131 < 1.500000
167,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,median,asymmetry,raw_eye_region_point_spread_asym,candidate,patient_higher,patient_higher,patient_higher,true,0.539505,0.592615,0.571213,605,605,378,227,168,59,0.038417,0.040888,0.042770,0.043222,0.039498,0.019886,0.029762,0.166667,0.496528,false,0.028651,0.045579,0.031746,0.026455,0.018519,0.745787,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.031746 < 0.150000; tail_separation_ratio 0.745787 < 1.500000; cross_data_tail_consistent is false
168,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,max,asymmetry,raw_all_mesh_region_height_asym,,patient_higher,patient_higher,patient_higher,true,0.524374,0.520985,0.539394,603,603,378,225,166,59,0.024702,0.025108,0.026422,0.026790,0.024925,0.012997,0.047619,0.047619,0.478550,false,0.018409,0.032847,0.044974,0.039683,0.037037,0.745233,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.044974 < 0.150000; tail_separation_ratio 0.745233 < 1.500000; cross_data_tail_consistent is false
169,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,max,asymmetry,raw_face_oval_region_height_asym,,patient_higher,patient_higher,patient_higher,true,0.523801,0.520985,0.538889,603,603,378,225,166,59,0.024702,0.025108,0.026422,0.026790,0.024925,0.012997,0.047619,0.047619,0.478550,false,0.018409,0.032847,0.044974,0.039683,0.037037,0.745233,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.044974 < 0.150000; tail_separation_ratio 0.745233 < 1.500000; cross_data_tail_consistent is false
170,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,max,asymmetry,raw_lip_region_centroid_y_asym,,patient_higher,patient_higher,patient_higher,false,0.570126,0.539548,0.593834,605,605,378,227,168,59,0.056230,0.062272,0.066525,0.067509,0.058602,0.052550,0.017857,0.000000,0.103273,true,0.041825,0.063774,0.023810,0.010582,0.010582,0.743830,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.023810 < 0.150000; tail_separation_ratio 0.743830 < 1.500000
171,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,mean,expression_blendshape,bs_eyeLookInRight,,patient_higher,nonpatient_higher,nonpatient_higher,false,0.508131,0.512914,0.532236,605,605,378,227,168,59,0.412019,0.444299,0.479426,0.488382,0.425789,0.375358,0.023810,0.023810,0.118441,true,0.306259,0.478788,0.023810,0.018519,0.010582,0.743313,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.023810 < 0.150000; tail_separation_ratio 0.743313 < 1.500000
172,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,max,asymmetry,bsdiff_mouth_mean_abs,,patient_higher,patient_higher,patient_higher,true,0.530435,0.517241,0.546548,604,604,378,226,168,58,0.087931,0.101483,0.120868,0.125953,0.093340,0.065492,0.038690,0.023810,0.298349,true,0.065360,0.138603,0.039683,0.029101,0.015873,0.743300,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.039683 < 0.150000; tail_separation_ratio 0.743300 < 1.500000
173,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,max,asymmetry,raw_eyebrow_region_point_spread_asym,,patient_higher,patient_higher,nonpatient_higher,false,0.524052,0.553672,0.530423,603,603,378,225,166,59,0.049161,0.049883,0.056028,0.057781,0.049571,0.027576,0.056548,0.047619,0.443712,false,0.036486,0.071515,0.052910,0.050265,0.031746,0.742181,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.052910 < 0.150000; tail_separation_ratio 0.742181 < 1.500000; cross_data_tail_consistent is false
174,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,max,asymmetry,raw_lip_region_centroid_y_asym,,patient_higher,patient_higher,nonpatient_higher,false,0.545661,0.548440,0.552260,604,604,378,226,168,58,0.056235,0.062306,0.066530,0.067509,0.058602,0.046630,0.014881,0.023810,0.204294,true,0.041675,0.061285,0.023810,0.007937,0.007937,0.741081,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.023810 < 0.150000; tail_separation_ratio 0.741081 < 1.500000
175,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,median,expression_blendshape,bs_eyeLookDownRight,reference_only,patient_higher,patient_higher,patient_higher,true,0.556494,0.653753,0.564308,605,605,378,227,168,59,0.656224,0.707427,0.782699,0.803176,0.642838,0.555940,0.005952,0.071429,0.135178,true,0.486226,0.643479,0.007937,0.005291,0.002646,0.740945,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.007937 < 0.150000; tail_separation_ratio 0.740945 < 1.500000
176,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,mean,asymmetry,raw_lip_region_centroid_y_asym,,patient_higher,patient_higher,patient_higher,false,0.573873,0.533091,0.581521,605,605,378,227,168,59,0.043213,0.044181,0.046036,0.046568,0.042039,0.038488,0.038690,0.000000,0.084477,true,0.031967,0.048184,0.034392,0.026455,0.018519,0.739771,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.034392 < 0.150000; tail_separation_ratio 0.739771 < 1.500000
177,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,mean,asymmetry,bsdiff_brow_mean_abs,,patient_higher,patient_higher,patient_higher,true,0.522552,0.553777,0.542785,604,604,378,226,168,58,0.139696,0.146159,0.148938,0.149499,0.141029,0.135683,0.035714,0.047619,0.037904,true,0.103316,0.181114,0.039683,0.034392,0.029101,0.739577,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.039683 < 0.150000; tail_separation_ratio 0.739577 < 1.500000
178,all,两批数据全部 detected 图片；旧数据 role 更多，新数据只有 front_contour/smile_teeth/eyes_right。,mean,asymmetry,raw_lip_midline_deviation,recommended,patient_higher,patient_higher,patient_higher,true,0.583014,0.564568,0.590134,605,605,378,227,168,59,0.021064,0.023167,0.040284,0.045209,0.018396,0.021489,0.077381,0.000000,0.143920,true,0.015543,0.037579,0.052910,0.044974,0.010582,0.737895,3,2,1,0.013216,0.008811,0.004405,false,patient_above_P99_rate 0.052910 < 0.150000; tail_separation_ratio 0.737895 < 1.500000
179,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,max,expression_blendshape,bs_eyeLookDownLeft,,patient_higher,patient_higher,patient_higher,true,0.527073,0.612187,0.525761,603,603,378,225,166,59,0.691221,0.728815,0.806956,0.828157,0.708076,0.563403,0.008929,0.166667,0.204319,true,0.510013,0.709213,0.013228,0.010582,0.002646,0.737843,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.013228 < 0.150000; tail_separation_ratio 0.737843 < 1.500000
180,mouth_dynamic,口部动态对齐口径；旧数据 smile+teeth 对齐新数据 smile_teeth。,max,asymmetry,raw_eyebrow_region_area_asym,recommended,patient_higher,patient_higher,patient_higher,true,0.568417,0.573892,0.594395,604,604,378,226,168,58,0.359164,0.363321,0.390693,0.398494,0.361121,0.314602,0.017857,0.047619,0.128818,true,0.264810,0.379906,0.018519,0.015873,0.005291,0.737297,3,2,1,0.013274,0.008850,0.004425,false,patient_above_P99_rate 0.018519 < 0.150000; tail_separation_ratio 0.737297 < 1.500000
181,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,mean,asymmetry,raw_all_mesh_region_height_asym,,patient_higher,patient_higher,patient_higher,true,0.524141,0.509080,0.538319,603,603,378,225,166,59,0.024702,0.025108,0.026422,0.026790,0.024925,0.012997,0.044643,0.047619,0.478550,false,0.018197,0.032847,0.042328,0.037037,0.037037,0.736630,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.042328 < 0.150000; tail_separation_ratio 0.736630 < 1.500000; cross_data_tail_consistent is false
182,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,median,asymmetry,raw_all_mesh_region_height_asym,,patient_higher,patient_higher,patient_higher,true,0.524141,0.508676,0.538166,603,603,378,225,166,59,0.024702,0.025108,0.026422,0.026790,0.024925,0.012997,0.044643,0.047619,0.478550,false,0.018197,0.032847,0.042328,0.037037,0.037037,0.736630,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.042328 < 0.150000; tail_separation_ratio 0.736630 < 1.500000; cross_data_tail_consistent is false
183,front_like,正脸/轮廓对齐口径；旧数据 front 对齐新数据 front_contour。,mean,asymmetry,raw_face_oval_region_height_asym,,patient_higher,patient_higher,patient_higher,true,0.523514,0.509080,0.537801,603,603,378,225,166,59,0.024702,0.025108,0.026422,0.026790,0.024925,0.012997,0.044643,0.047619,0.478550,false,0.018197,0.032847,0.042328,0.037037,0.037037,0.736630,3,2,1,0.013333,0.008889,0.004444,false,patient_above_P99_rate 0.042328 < 0.150000; tail_separation_ratio 0.736630 < 1.500000; cross_data_tail_consistent is false
